Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1664385121170907139,@InezFeltscher @MattWalshBlog @JeremyDBoreing @realDailyWire Being fixed,Elon Musk,elonmusk,2023-06-01T21:35:10.000Z,Thu Jun 01 21:35:10 +0000 2023,14864,571,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,4,,,,,
1664384949107974145,@tszzl Epic episode!,Elon Musk,elonmusk,2023-06-01T21:34:29.000Z,Thu Jun 01 21:34:29 +0000 2023,2396,132,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664382607499378691,@JonErlichman “Bloomberg Intelligence” ????,Elon Musk,elonmusk,2023-06-01T21:25:11.000Z,Thu Jun 01 21:25:11 +0000 2023,1606,92,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664382336257933321,@TheRabbitHole84 @davidmweissman @JeremyDBoreing @realDailyWire Exactly. It is damaging to society to dilute what “hate speech” means.,Elon Musk,elonmusk,2023-06-01T21:24:06.000Z,Thu Jun 01 21:24:06 +0000 2023,4690,342,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,4,,,,,
1664338049407361024,@micsolana ????,Elon Musk,elonmusk,2023-06-01T18:28:07.000Z,Thu Jun 01 18:28:07 +0000 2023,6799,256,qme,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664337936588873742,@cb_doge Important to remember that we should not take civilization for granted,Elon Musk,elonmusk,2023-06-01T18:27:40.000Z,Thu Jun 01 18:27:40 +0000 2023,16152,1257,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664330279257767936,"Lil X just asked if there are police cats, since there are police dogs ??",Elon Musk,elonmusk,2023-06-01T17:57:14.000Z,Thu Jun 01 17:57:14 +0000 2023,200353,12817,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Tweet,,0,0,,,,,
1664330035530964996,Congratulations to Giga Shanghai &amp; Tesla China SDS teams for their excellent work overcoming many obstacles over many years!! https://t.co/Q1QKajKR1l,Elon Musk,elonmusk,2023-06-01T17:56:16.000Z,Thu Jun 01 17:56:16 +0000 2023,134187,10143,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Tweet,,0,0,photo,https://pbs.twimg.com/media/FxjjWHpX0AAqr11.jpg,https://pbs.twimg.com/media/FxjjWIGWIAQ9Ply.jpg,,
1664328727826661376,@stillgray Happens a lot ????,Elon Musk,elonmusk,2023-06-01T17:51:05.000Z,Thu Jun 01 17:51:05 +0000 2023,10937,383,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,,0,1,,,,,
1664324213023424531,"@JeremyDBoreing @realDailyWire This was a mistake by many people at Twitter. It is definitely allowed. 

Whether or not you agree with using someone’s preferred pronouns, not doing so is at most rude and certainly breaks no laws. 

I should note that I do personally use someone’s preferred pronouns, just as I… https://t.co/VRzX5n9bFG",Elon Musk,elonmusk,2023-06-01T17:33:08.000Z,Thu Jun 01 17:33:08 +0000 2023,94320,8526,en,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,Reply,https://twitter.com/i/web/status/1664324213023424531 ,0,2,,,,,
